Date,PAR
10.09.24,120.6
10.09.24,114.7
10.09.24,117.1
10.09.24,116.6
10.09.24,130.6
10.09.24,132.1
10.09.24,134.2
10.09.24,121.7
10.09.24,125.2
10.09.24,121.5
10.09.24,123
10.09.24,123.1
10.09.24,118.5
10.09.24,113.4
10.09.24,112.9
10.09.24,107.5
16.09.24,111.4
16.09.24,114.1
16.09.24,116.2
16.09.24,113.6
16.09.24,118.5
16.09.24,131.2
16.09.24,125.7
16.09.24,121.3
16.09.24,134.3
16.09.24,120.5
16.09.24,125.5
16.09.24,127.6
16.09.24,119.4
16.09.24,126.6
16.09.24,122.5
16.09.24,116.5
