ID,Experiment,Jar,Volume,Hour,Species,Individual,Initial,Final,Dry,Tube,Total,Organic,Area_1,Area_2,Cover_1,Cover_2,Sampled,Analysed_TA,Analysed_DIC,Salinity,Temperature,pH,Acid,Acid_V,Acid_C,TA,DIC,Notes
1_11,1,11,,48,Laminaria digitata,3,2.027,1.925,NA,NA,NA,NA,,,,,12.09.24,16.09.24,13.09.24,34.9,21.6,,HCl,0.248933,0.0914537,2276.6,1407.510634,Scoured by magnet
1_12,1,12,,48,Laminaria digitata,3,3.091,2.658,NA,NA,NA,NA,,,,,12.09.24,13.09.24,13.09.24,34.6,19.2,,HCl,0.206659,0.0914537,1890,1272.08084,Scoured by magnet
1_13,1,13,,48,Laminaria digitata,3,3.359,3.126,NA,NA,NA,NA,,,,,12.09.24,13.09.24,13.09.24,34.6,19.7,,HCl,0.210905,0.0914537,1928.8,1766.100142,Scoured by magnet
1_14,1,14,,48,Laminaria digitata,3,3.552,3.266,NA,NA,NA,NA,,,,,12.09.24,13.09.24,13.09.24,34.7,19.4,,HCl,0.256015,0.0914537,2341.3,2326.667004,Scoured by magnet
1_15,1,15,,48,Laminaria digitata,3,2.823,2.402,NA,NA,NA,NA,,,,,12.09.24,13.09.24,13.09.24,34.9,19.9,,HCl,0.205562,0.0914537,1879.9,1322.276092,Scoured by magnet
1_16,1,16,,48,Blank,NA,NA,NA,NA,NA,NA,NA,,,,,12.09.24,16.09.24,13.09.24,34.6,21.5,,HCl,0.253925,0.0914537,2322.2,2275.617685,Scoured by magnet
2_0,2,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,16.09.24,24.09.24,24.09.24,35,21.2,,HCl,0.256277,0.0914537,2343.7,2270.390616,"No scouring but  some contact with magnet, decided against recording final mass due to short time interval"
2_1,2,1,,24,Saccorhiza polyschides,1,3.767,NA,NA,NA,NA,NA,,,,,17.09.24,24.09.24,24.09.24,35,21.2,,HCl,0.235734,0.0914537,2155.9,1518.421588,"No scouring but  some contact with magnet, decided against recording final mass due to short time interval"
2_2,2,2,,24,Saccorhiza polyschides,1,3.251,NA,NA,NA,NA,NA,,,,,17.09.24,26.09.24,24.09.24,35.1,20.9,,HCl,0.257696,0.0914537,2356.7,2147.005371,"No scouring but  some contact with magnet, decided against recording final mass due to short time interval"
2_3,2,3,,24,Saccorhiza polyschides,1,4.959,NA,NA,NA,NA,NA,,,,,17.09.24,24.09.24,24.09.24,35,21.3,,HCl,0.239796,0.0914537,2193,1790.510988,"No scouring but  some contact with magnet, decided against recording final mass due to short time interval"
2_4,2,4,,24,Saccorhiza polyschides,1,3.787,NA,NA,NA,NA,NA,,,,,17.09.24,24.09.24,24.09.24,35,21.3,,HCl,0.241358,0.0914537,2207.3,1884.943895,"No scouring but  some contact with magnet, decided against recording final mass due to short time interval"
2_5,2,5,,24,Saccorhiza polyschides,1,3.944,NA,NA,NA,NA,NA,,,,,17.09.24,26.09.24,24.09.24,35,20.9,,HCl,0.250955,0.0914537,2295.1,1633.982828,"No scouring but  some contact with magnet, decided against recording final mass due to short time interval"
2_6,2,6,,24,Laminaria digitata,4,1.932,NA,NA,NA,NA,NA,,,,,17.09.24,24.09.24,24.09.24,35,21.3,,HCl,0.257612,0.0914537,2356,1419.157423,"No scouring but  some contact with magnet, decided against recording final mass due to short time interval"
2_7,2,7,,24,Laminaria digitata,4,2.377,NA,NA,NA,NA,NA,,,,,17.09.24,24.09.24,24.09.24,35.1,21.2,,HCl,0.232066,0.0914537,2122.3,1809.819722,"No scouring but  some contact with magnet, decided against recording final mass due to short time interval"
2_8,2,8,,24,Laminaria digitata,4,2.993,NA,NA,NA,NA,NA,,,,,17.09.24,24.09.24,24.09.24,35.1,21.2,,HCl,0.260109,0.0914537,2378.8,2260.029743,"No scouring but  some contact with magnet, decided against recording final mass due to short time interval"
2_9,2,9,,24,Laminaria digitata,4,2.896,NA,NA,NA,NA,NA,,,,,17.09.24,24.09.24,24.09.24,35,21.2,,HCl,0.241553,0.0914537,2209.1,2024.458159,"No scouring but  some contact with magnet, decided against recording final mass due to short time interval"
2_10,2,10,,24,Laminaria digitata,4,1.967,NA,NA,NA,NA,NA,,,,,17.09.24,24.09.24,24.09.24,35.1,21.2,,HCl,0.256402,0.0914537,2344.9,1717.943274,"No scouring but  some contact with magnet, decided against recording final mass due to short time interval"
2_11,2,11,,24,Saccorhiza polyschides,2,2.397,NA,NA,NA,NA,NA,,,,,17.09.24,26.09.24,27.09.24,35.1,20.9,,HCl,0.255352,0.0914537,2335.3,1368.483785,"No scouring but  some contact with magnet, decided against recording final mass due to short time interval"
2_12,2,12,,24,Saccorhiza polyschides,2,4.406,NA,NA,NA,NA,NA,,,,,17.09.24,26.09.24,24.09.24,35.1,21,,HCl,0.2675355,0.0914537,2446.7,2425.37642,"No scouring but  some contact with magnet, decided against recording final mass due to short time interval"
2_13,2,13,,24,Saccorhiza polyschides,2,3.597,NA,NA,NA,NA,NA,,,,,17.09.24,24.09.24,24.09.24,35.1,21.3,,HCl,0.238568,0.0914537,2181.8,1451.945075,"No scouring but  some contact with magnet, decided against recording final mass due to short time interval"
2_14,2,14,,24,Saccorhiza polyschides,2,2.589,NA,NA,NA,NA,NA,,,,,17.09.24,24.09.24,24.09.24,35.1,21.2,,HCl,0.24585,0.0914537,2248.4,1826.373526,"No scouring but  some contact with magnet, decided against recording final mass due to short time interval"
2_15,2,15,,24,Saccorhiza polyschides,2,4.966,NA,NA,NA,NA,NA,,,,,17.09.24,26.09.24,24.09.24,35,20.9,,HCl,0.237796,0.0914537,2174.7,1758.094687,"No scouring but  some contact with magnet, decided against recording final mass due to short time interval"
2_16,2,16,,24,Blank,NA,NA,NA,NA,NA,NA,NA,,,,,17.09.24,24.09.24,24.09.24,35.1,21.2,,HCl,NA,0.0914537,NA,2215.936802,"No scouring but  some contact with magnet, decided against recording final mass due to short time interval"
3_0,3,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,13.11.24,,,,,,,,,,,
3_1,3,1,,48,Laminaria digitata,5,4.067,3.648,,,,,,,,,15.11.24,,,,,,,,,,,
3_2,3,2,,48,Laminaria digitata,5,2.917,2.48,,,,,,,,,15.11.24,,,,,,,,,,,
3_3,3,3,,48,Laminaria digitata,5,3.869,3.473,,,,,,,,,15.11.24,,,,,,,,,,,
3_4,3,4,,48,Laminaria digitata,5,3.793,3.309,,,,,,,,,15.11.24,,,,,,,,,,,
3_5,3,5,,48,Laminaria digitata,5,2.612,2.259,,,,,,,,,15.11.24,,,,,,,,,,,
3_6,3,6,,48,Laminaria digitata,6,2.181,1.82,,,,,,,,,15.11.24,,,,,,,,,,,
3_7,3,7,,48,Laminaria digitata,6,2.901,2.433,,,,,,,,,15.11.24,,,,,,,,,,,
3_8,3,8,,48,Laminaria digitata,6,2.821,2.326,,,,,,,,,15.11.24,,,,,,,,,,,
3_9,3,9,,48,Laminaria digitata,6,3.518,3.057,,,,,,,,,15.11.24,,,,,,,,,,,
3_10,3,10,,48,Laminaria digitata,6,3.249,2.773,,,,,,,,,15.11.24,,,,,,,,,,,
3_11,3,11,,48,Laminaria digitata,7,2.288,1.683,,,,,,,,,15.11.24,,,,,,,,,,,
3_12,3,12,,48,Laminaria digitata,7,3.635,3.287,,,,,,,,,15.11.24,,,,,,,,,,,
3_13,3,13,,48,Laminaria digitata,7,2.775,2.338,,,,,,,,,15.11.24,,,,,,,,,,,
3_14,3,14,,48,Laminaria digitata,7,1.845,1.577,,,,,,,,,15.11.24,,,,,,,,,,,
3_15,3,15,,48,Laminaria digitata,7,2.211,1.977,,,,,,,,,15.11.24,,,,,,,,,,,
3_16,3,16,,48,Blank,NA,NA,NA,,,,,,,,,15.11.24,,,,,,,,,,,
